Title, 
Type, DCV_(020)
MAX, 100,23, V, 23.17.51
MIN, 1,1479, V, 23.22.58
AVG., 55,79, V

No, Date, Time, Value, Unit
 0230, 2017/11/07, 23.21.40, 35,229, V
 0231, 2017/11/07, 23.21.41, 34,860, V
 0232, 2017/11/07, 23.21.42, 34,532, V
 0233, 2017/11/07, 23.21.43, 34,325, V
 0234, 2017/11/07, 23.21.44, 33,953, V
 0235, 2017/11/07, 23.21.45, 33,453, V
 0236, 2017/11/07, 23.21.46, 33,117, V
 0237, 2017/11/07, 23.21.47, 32,527, V
 0238, 2017/11/07, 23.21.48, 32,171, V
 0239, 2017/11/07, 23.21.49, 31,876, V
 0240, 2017/11/07, 23.21.50, 31,411, V
 0241, 2017/11/07, 23.21.51, 30,951, V
 0242, 2017/11/07, 23.21.52, 30,493, V
 0243, 2017/11/07, 23.21.53, 30,051, V
 0244, 2017/11/07, 23.21.54, 29,563, V
 0245, 2017/11/07, 23.21.55, 29,091, V
 0246, 2017/11/07, 23.21.56, 28,613, V
 0247, 2017/11/07, 23.21.57, 28,046, V
 0248, 2017/11/07, 23.21.58, 27,511, V
 0249, 2017/11/07, 23.21.59, 26,799, V
 0250, 2017/11/07, 23.22.00, 26,404, V
 0251, 2017/11/07, 23.22.01, 26,021, V
 0252, 2017/11/07, 23.22.02, 25,490, V
 0253, 2017/11/07, 23.22.03, 24,977, V
 0254, 2017/11/07, 23.22.04, 24,400, V
 0255, 2017/11/07, 23.22.05, 23,682, V
 0256, 2017/11/07, 23.22.06, 22,976, V
 0257, 2017/11/07, 23.22.07, 22,661, V
 0258, 2017/11/07, 23.22.08, 22,041, V
 0259, 2017/11/07, 23.22.09, 21,454, V
 0260, 2017/11/07, 23.22.10, 21,114, V
 0261, 2017/11/07, 23.22.11, 20,752, V
 0262, 2017/11/07, 23.22.12, 20,491, V
 0263, 2017/11/07, 23.22.13, 20,168, V
 0264, 2017/11/07, 23.22.14, 19,788, V
 0265, 2017/11/07, 23.22.15, 19,371, V
 0266, 2017/11/07, 23.22.16, 18,930, V
 0267, 2017/11/07, 23.22.17, 18,616, V
 0268, 2017/11/07, 23.22.18, 18,389, V
 0269, 2017/11/07, 23.22.19, 18,024, V
 0270, 2017/11/07, 23.22.20, 17,561, V
 0271, 2017/11/07, 23.22.21, 16,950, V
 0272, 2017/11/07, 23.22.22, 16,595, V
 0273, 2017/11/07, 23.22.23, 16,276, V
 0274, 2017/11/07, 23.22.24, 15,796, V
 0275, 2017/11/07, 23.22.25, 15,389, V
 0276, 2017/11/07, 23.22.26, 15,011, V
 0277, 2017/11/07, 23.22.27, 14,620, V
 0278, 2017/11/07, 23.22.28, 14,174, V
 0279, 2017/11/07, 23.22.29, 13,665, V
 0280, 2017/11/07, 23.22.30, 13,241, V
 0281, 2017/11/07, 23.22.31, 12,736, V
 0282, 2017/11/07, 23.22.32, 12,500, V
 0283, 2017/11/07, 23.22.33, 12,001, V
 0284, 2017/11/07, 23.22.34, 11,556, V
 0285, 2017/11/07, 23.22.35, 11,188, V
 0286, 2017/11/07, 23.22.36, 10,796, V
 0287, 2017/11/07, 23.22.37, 10,288, V
 0288, 2017/11/07, 23.22.38, 9,782, V
 0289, 2017/11/07, 23.22.39, 9,178, V
 0290, 2017/11/07, 23.22.40, 8,996, V
 0291, 2017/11/07, 23.22.41, 8,407, V
 0292, 2017/11/07, 23.22.42, 8,240, V
 0293, 2017/11/07, 23.22.43, 7,655, V
 0294, 2017/11/07, 23.22.44, 7,238, V
 0295, 2017/11/07, 23.22.45, 6,476, V
 0296, 2017/11/07, 23.22.46, 6,177, V
 0297, 2017/11/07, 23.22.47, 5,2713, V
 0298, 2017/11/07, 23.22.48, 5,0697, V
 0299, 2017/11/07, 23.22.49, 4,5855, V
 0300, 2017/11/07, 23.22.50, 4,3050, V
 0301, 2017/11/07, 23.22.51, 3,8555, V
 0302, 2017/11/07, 23.22.52, 3,4021, V
 0303, 2017/11/07, 23.22.53, 3,0532, V
 0304, 2017/11/07, 23.22.54, 2,6800, V
 0305, 2017/11/07, 23.22.55, 2,0243, V
 0306, 2017/11/07, 23.22.56, 1,5457, V
 0307, 2017/11/07, 23.22.57, 1,3631, V
 0308, 2017/11/07, 23.22.58, 1,1479, V
 0309, 2017/11/07, 23.22.59, 1,1479, V
 0310, 2017/11/07, 23.23.00, 1,1479, V
 0311, 2017/11/07, 23.23.01, 1,1479, V
 0312, 2017/11/07, 23.23.02, 1,1480, V
 0313, 2017/11/07, 23.23.03, 1,1480, V
 0314, 2017/11/07, 23.23.04, 1,1479, V
 0315, 2017/11/07, 23.23.05, 1,1480, V
 0316, 2017/11/07, 23.23.06, 1,1480, V
 0317, 2017/11/07, 23.23.07, 1,1480, V
 0318, 2017/11/07, 23.23.08, 1,1480, V
 0319, 2017/11/07, 23.23.09, 1,1480, V
 0320, 2017/11/07, 23.23.10, 1,1480, V
 0321, 2017/11/07, 23.23.11, 1,1480, V
 0322, 2017/11/07, 23.23.12, 1,1480, V
 0323, 2017/11/07, 23.23.13, 1,1480, V
 0324, 2017/11/07, 23.23.14, 1,1480, V
 0325, 2017/11/07, 23.23.15, 1,1480, V
 0326, 2017/11/07, 23.23.16, 1,1480, V
 0327, 2017/11/07, 23.23.17, 1,1480, V
