Title, 
Type, DCV_(022)
MAX, 70,04, V, 23.44.45
MIN, 29,938, V, 23.42.14
AVG., 49,539, V
No, Date, Time, Value, Unit
 0095, 2017/11/07, 23.43.39, 53,559, V
 0096, 2017/11/07, 23.43.40, 53,807, V
 0097, 2017/11/07, 23.43.41, 54,054, V
 0098, 2017/11/07, 23.43.42, 54,183, V
 0099, 2017/11/07, 23.43.43, 54,641, V
 0100, 2017/11/07, 23.43.44, 54,960, V
 0101, 2017/11/07, 23.43.45, 55,268, V
 0102, 2017/11/07, 23.43.46, 55,378, V
 0103, 2017/11/07, 23.43.47, 55,721, V
 0104, 2017/11/07, 23.43.48, 55,917, V
 0105, 2017/11/07, 23.43.49, 56,175, V
 0106, 2017/11/07, 23.43.50, 56,308, V
 0107, 2017/11/07, 23.43.51, 56,459, V
 0108, 2017/11/07, 23.43.52, 56,889, V
 0109, 2017/11/07, 23.43.53, 57,063, V
 0110, 2017/11/07, 23.43.54, 57,399, V
 0111, 2017/11/07, 23.43.55, 57,549, V
 0112, 2017/11/07, 23.43.56, 57,810, V
 0113, 2017/11/07, 23.43.57, 57,956, V
 0114, 2017/11/07, 23.43.58, 58,141, V
 0115, 2017/11/07, 23.43.59, 58,254, V
 0116, 2017/11/07, 23.44.00, 58,501, V
 0117, 2017/11/07, 23.44.01, 58,600, V
 0118, 2017/11/07, 23.44.02, 59,031, V
 0119, 2017/11/07, 23.44.03, 59,298, V
 0120, 2017/11/07, 23.44.04, 59,695, V
 0121, 2017/11/07, 23.44.05, 59,899, V
 0122, 2017/11/07, 23.44.06, 60,07, V
 0123, 2017/11/07, 23.44.07, 60,40, V
 0124, 2017/11/07, 23.44.08, 60,80, V
 0125, 2017/11/07, 23.44.09, 60,99, V
 0126, 2017/11/07, 23.44.10, 61,30, V
 0127, 2017/11/07, 23.44.11, 61,54, V
 0128, 2017/11/07, 23.44.12, 61,87, V
 0129, 2017/11/07, 23.44.13, 62,09, V
 0130, 2017/11/07, 23.44.14, 62,33, V
 0131, 2017/11/07, 23.44.15, 62,66, V
 0132, 2017/11/07, 23.44.16, 62,97, V
 0133, 2017/11/07, 23.44.17, 63,35, V
 0134, 2017/11/07, 23.44.18, 63,63, V
 0135, 2017/11/07, 23.44.19, 63,87, V
 0136, 2017/11/07, 23.44.20, 64,09, V
 0137, 2017/11/07, 23.44.21, 64,44, V
 0138, 2017/11/07, 23.44.22, 64,77, V
 0139, 2017/11/07, 23.44.23, 65,07, V
 0140, 2017/11/07, 23.44.24, 65,48, V
 0141, 2017/11/07, 23.44.25, 65,69, V
 0142, 2017/11/07, 23.44.26, 65,98, V
 0143, 2017/11/07, 23.44.27, 66,17, V
 0144, 2017/11/07, 23.44.28, 66,42, V
 0145, 2017/11/07, 23.44.29, 66,76, V
 0146, 2017/11/07, 23.44.30, 67,00, V
 0147, 2017/11/07, 23.44.31, 67,11, V
 0148, 2017/11/07, 23.44.32, 67,37, V
 0149, 2017/11/07, 23.44.33, 67,56, V
 0150, 2017/11/07, 23.44.34, 67,97, V
 0151, 2017/11/07, 23.44.35, 68,20, V
 0152, 2017/11/07, 23.44.36, 68,46, V
 0153, 2017/11/07, 23.44.37, 68,61, V
 0154, 2017/11/07, 23.44.38, 68,84, V
 0155, 2017/11/07, 23.44.39, 69,01, V
 0156, 2017/11/07, 23.44.40, 69,40, V
 0157, 2017/11/07, 23.44.41, 69,61, V
 0158, 2017/11/07, 23.44.42, 69,81, V
 0159, 2017/11/07, 23.44.43, 69,97, V
 0160, 2017/11/07, 23.44.44, 70,03, V
 0161, 2017/11/07, 23.44.45, 70,04, V
 0162, 2017/11/07, 23.44.46, 70,04, V
 0163, 2017/11/07, 23.44.47, 70,04, V
 0164, 2017/11/07, 23.44.48, 70,03, V
 0165, 2017/11/07, 23.44.49, 70,04, V
 0166, 2017/11/07, 23.44.50, 70,03, V
 0167, 2017/11/07, 23.44.51, 70,04, V
 0168, 2017/11/07, 23.44.52, 70,04, V
