Title, 
Type, DCV_(021)
MAX, 70,00, V, 23.38.25
MIN, 30,013, V, 23.41.07
AVG., 50,75, V

No, Date, Time, Value, Unit
 0069, 2017/11/07, 23.39.27, 56,89, V
 0070, 2017/11/07, 23.39.28, 56,71, V
 0071, 2017/11/07, 23.39.29, 56,43, V
 0072, 2017/11/07, 23.39.30, 56,22, V
 0073, 2017/11/07, 23.39.31, 56,03, V
 0074, 2017/11/07, 23.39.32, 55,84, V
 0075, 2017/11/07, 23.39.33, 55,63, V
 0076, 2017/11/07, 23.39.34, 55,32, V
 0077, 2017/11/07, 23.39.35, 55,11, V
 0078, 2017/11/07, 23.39.36, 54,748, V
 0079, 2017/11/07, 23.39.37, 54,450, V
 0080, 2017/11/07, 23.39.38, 54,229, V
 0081, 2017/11/07, 23.39.39, 53,983, V
 0082, 2017/11/07, 23.39.40, 53,725, V
 0083, 2017/11/07, 23.39.41, 53,404, V
 0084, 2017/11/07, 23.39.42, 53,098, V
 0085, 2017/11/07, 23.39.43, 52,839, V
 0086, 2017/11/07, 23.39.44, 52,555, V
 0087, 2017/11/07, 23.39.45, 52,224, V
 0088, 2017/11/07, 23.39.46, 51,978, V
 0089, 2017/11/07, 23.39.47, 51,757, V
 0090, 2017/11/07, 23.39.48, 51,480, V
 0091, 2017/11/07, 23.39.49, 51,082, V
 0092, 2017/11/07, 23.39.50, 50,727, V
 0093, 2017/11/07, 23.39.51, 50,365, V
 0094, 2017/11/07, 23.39.52, 49,834, V
 0095, 2017/11/07, 23.39.53, 49,547, V
 0096, 2017/11/07, 23.39.54, 49,088, V
 0097, 2017/11/07, 23.39.55, 48,661, V
 0098, 2017/11/07, 23.39.56, 48,168, V
 0099, 2017/11/07, 23.39.57, 47,832, V
 0100, 2017/11/07, 23.39.58, 47,492, V
 0101, 2017/11/07, 23.39.59, 47,294, V
 0102, 2017/11/07, 23.40.00, 47,006, V
 0103, 2017/11/07, 23.40.01, 46,620, V
 0104, 2017/11/07, 23.40.02, 46,376, V
 0105, 2017/11/07, 23.40.03, 46,019, V
 0106, 2017/11/07, 23.40.04, 45,665, V
 0107, 2017/11/07, 23.40.05, 45,410, V
 0108, 2017/11/07, 23.40.06, 45,036, V
 0109, 2017/11/07, 23.40.07, 44,746, V
 0110, 2017/11/07, 23.40.08, 44,393, V
 0111, 2017/11/07, 23.40.09, 44,168, V
 0112, 2017/11/07, 23.40.10, 43,790, V
 0113, 2017/11/07, 23.40.11, 43,458, V
 0114, 2017/11/07, 23.40.12, 43,158, V
 0115, 2017/11/07, 23.40.13, 42,761, V
 0116, 2017/11/07, 23.40.14, 42,407, V
 0117, 2017/11/07, 23.40.15, 42,230, V
 0118, 2017/11/07, 23.40.16, 42,023, V
 0119, 2017/11/07, 23.40.17, 41,782, V
 0120, 2017/11/07, 23.40.18, 41,544, V
 0121, 2017/11/07, 23.40.19, 41,390, V
 0122, 2017/11/07, 23.40.20, 41,077, V
 0123, 2017/11/07, 23.40.21, 40,893, V
 0124, 2017/11/07, 23.40.22, 40,621, V
 0125, 2017/11/07, 23.40.23, 40,404, V
 0126, 2017/11/07, 23.40.24, 40,078, V
 0127, 2017/11/07, 23.40.25, 39,664, V
 0128, 2017/11/07, 23.40.26, 39,447, V
 0129, 2017/11/07, 23.40.27, 39,184, V
 0130, 2017/11/07, 23.40.28, 38,769, V
 0131, 2017/11/07, 23.40.29, 38,489, V
 0132, 2017/11/07, 23.40.30, 38,218, V
 0133, 2017/11/07, 23.40.31, 37,887, V
 0134, 2017/11/07, 23.40.32, 37,745, V
 0135, 2017/11/07, 23.40.33, 37,480, V
 0136, 2017/11/07, 23.40.34, 37,166, V
 0137, 2017/11/07, 23.40.35, 36,899, V
 0138, 2017/11/07, 23.40.36, 36,598, V
 0139, 2017/11/07, 23.40.37, 36,379, V
 0140, 2017/11/07, 23.40.38, 35,998, V
 0141, 2017/11/07, 23.40.39, 35,618, V
 0142, 2017/11/07, 23.40.40, 35,329, V
 0143, 2017/11/07, 23.40.41, 35,046, V
 0144, 2017/11/07, 23.40.42, 34,752, V
 0145, 2017/11/07, 23.40.43, 34,538, V
 0146, 2017/11/07, 23.40.44, 34,238, V
 0147, 2017/11/07, 23.40.45, 34,091, V
 0148, 2017/11/07, 23.40.46, 33,799, V
 0149, 2017/11/07, 23.40.47, 33,599, V
 0150, 2017/11/07, 23.40.48, 33,273, V
 0151, 2017/11/07, 23.40.49, 32,983, V
 0152, 2017/11/07, 23.40.50, 32,743, V
 0153, 2017/11/07, 23.40.51, 32,585, V
 0154, 2017/11/07, 23.40.52, 32,361, V
 0155, 2017/11/07, 23.40.53, 32,199, V
 0156, 2017/11/07, 23.40.54, 31,999, V
 0157, 2017/11/07, 23.40.55, 31,852, V
 0158, 2017/11/07, 23.40.56, 31,645, V
 0159, 2017/11/07, 23.40.57, 31,517, V
 0160, 2017/11/07, 23.40.58, 31,242, V
 0161, 2017/11/07, 23.40.59, 31,024, V
 0162, 2017/11/07, 23.41.00, 30,749, V
 0163, 2017/11/07, 23.41.01, 30,583, V
 0164, 2017/11/07, 23.41.02, 30,440, V
 0165, 2017/11/07, 23.41.03, 30,307, V
 0166, 2017/11/07, 23.41.04, 30,197, V
 0167, 2017/11/07, 23.41.05, 30,068, V
 0168, 2017/11/07, 23.41.06, 30,014, V
 0169, 2017/11/07, 23.41.07, 30,013, V
 0170, 2017/11/07, 23.41.08, 30,013, V
 0171, 2017/11/07, 23.41.09, 30,013, V
 0172, 2017/11/07, 23.41.10, 30,013, V
 0173, 2017/11/07, 23.41.11, 30,013, V
 0174, 2017/11/07, 23.41.12, 30,013, V
 0175, 2017/11/07, 23.41.13, 30,013, V
 0176, 2017/11/07, 23.41.14, 30,013, V
