Title, 
Type, DCV_(022)
MAX, 100,34, V, 23.10.02
MIN, 1,1485, V, 23.05.02
AVG., 48,2992, V

No, Date, Time, Value, Unit
 0201, 2017/11/07, 23.08.19, 61,29, V
 0202, 2017/11/07, 23.08.20, 61,50, V
 0203, 2017/11/07, 23.08.21, 61,72, V
 0204, 2017/11/07, 23.08.22, 62,14, V
 0205, 2017/11/07, 23.08.23, 62,47, V
 0206, 2017/11/07, 23.08.24, 62,68, V
 0207, 2017/11/07, 23.08.25, 63,00, V
 0208, 2017/11/07, 23.08.26, 63,13, V
 0209, 2017/11/07, 23.08.27, 63,48, V
 0210, 2017/11/07, 23.08.28, 63,81, V
 0211, 2017/11/07, 23.08.29, 64,20, V
 0212, 2017/11/07, 23.08.30, 64,54, V
 0213, 2017/11/07, 23.08.31, 64,79, V
 0214, 2017/11/07, 23.08.32, 65,19, V
 0215, 2017/11/07, 23.08.33, 65,67, V
 0216, 2017/11/07, 23.08.34, 65,84, V
 0217, 2017/11/07, 23.08.35, 66,47, V
 0218, 2017/11/07, 23.08.36, 66,93, V
 0219, 2017/11/07, 23.08.37, 67,23, V
 0220, 2017/11/07, 23.08.38, 67,62, V
 0221, 2017/11/07, 23.08.39, 68,09, V
 0222, 2017/11/07, 23.08.40, 68,46, V
 0223, 2017/11/07, 23.08.41, 68,72, V
 0224, 2017/11/07, 23.08.42, 69,17, V
 0225, 2017/11/07, 23.08.43, 69,59, V
 0226, 2017/11/07, 23.08.44, 70,13, V
 0227, 2017/11/07, 23.08.45, 70,45, V
 0228, 2017/11/07, 23.08.46, 70,83, V
 0229, 2017/11/07, 23.08.47, 71,12, V
 0230, 2017/11/07, 23.08.48, 71,57, V
 0231, 2017/11/07, 23.08.49, 72,06, V
 0232, 2017/11/07, 23.08.50, 72,55, V
 0233, 2017/11/07, 23.08.51, 72,96, V
 0234, 2017/11/07, 23.08.52, 73,28, V
 0235, 2017/11/07, 23.08.53, 73,77, V
 0236, 2017/11/07, 23.08.54, 74,29, V
 0237, 2017/11/07, 23.08.55, 74,65, V
 0238, 2017/11/07, 23.08.56, 75,28, V
 0239, 2017/11/07, 23.08.57, 75,51, V
 0240, 2017/11/07, 23.08.58, 75,85, V
 0241, 2017/11/07, 23.08.59, 76,19, V
 0242, 2017/11/07, 23.09.00, 76,56, V
 0243, 2017/11/07, 23.09.01, 76,92, V
 0244, 2017/11/07, 23.09.02, 77,21, V
 0245, 2017/11/07, 23.09.03, 77,59, V
 0246, 2017/11/07, 23.09.04, 78,02, V
 0247, 2017/11/07, 23.09.05, 78,29, V
 0248, 2017/11/07, 23.09.06, 78,59, V
 0249, 2017/11/07, 23.09.07, 78,99, V
 0250, 2017/11/07, 23.09.08, 79,38, V
 0251, 2017/11/07, 23.09.09, 80,14, V
 0252, 2017/11/07, 23.09.10, 80,42, V
 0253, 2017/11/07, 23.09.11, 80,89, V
 0254, 2017/11/07, 23.09.12, 81,26, V
 0255, 2017/11/07, 23.09.13, 81,69, V
 0256, 2017/11/07, 23.09.14, 82,02, V
 0257, 2017/11/07, 23.09.15, 82,25, V
 0258, 2017/11/07, 23.09.16, 82,76, V
 0259, 2017/11/07, 23.09.17, 82,77, V
 0260, 2017/11/07, 23.09.18, 83,21, V
 0261, 2017/11/07, 23.09.19, 83,56, V
 0262, 2017/11/07, 23.09.20, 84,16, V
 0263, 2017/11/07, 23.09.21, 84,47, V
 0264, 2017/11/07, 23.09.22, 84,93, V
 0265, 2017/11/07, 23.09.23, 85,16, V
 0266, 2017/11/07, 23.09.24, 85,35, V
 0267, 2017/11/07, 23.09.25, 85,73, V
 0268, 2017/11/07, 23.09.26, 86,00, V
 0269, 2017/11/07, 23.09.27, 86,33, V
